filename, width, height, class, xmin, ymin, xmax, ymax
G0010033,pothole,3680,2760,1990,1406,2056,1420
G0010033,pothole,3680,2760,1464,1442,1556,1458
G0010033,pothole,3680,2760,1108,1450,1162,1466
G0010033,pothole,3680,2760,558,1434,660,1450
G0010033,pothole,3680,2760,338,1450,410,1468
G0010033,pothole,3680,2760,262,1450,320,1472
G0010034,pothole,3680,2760,1804,1424,1894,1440
G0010034,pothole,3680,2760,1192,1484,1302,1500
G0010034,pothole,3680,2760,782,1502,856,1518
G0010034,pothole,3680,2760,566,1494,672,1516
G0010034,pothole,3680,2760,210,1484,314,1506
G0010035,pothole,3680,2760,1590,1452,1696,1476
G0010035,pothole,3680,2760,840,1544,972,1572
G0010035,pothole,3680,2760,368,1584,464,1606
G0010035,pothole,3680,2760,136,1576,274,1606
G0010036,pothole,3680,2760,1322,1516,1456,1544
G0010036,pothole,3680,2760,362,1658,518,1696
G0010036,pothole,3680,2760,1744,1522,1802,1538
G0010037,pothole,3680,2760,884,1638,1074,1690
G0010037,pothole,3680,2760,1428,1654,1526,1680
G0010109,pothole,3680,2760,1984,1346,2026,1362
G0010109,pothole,3680,2760,1894,1330,1942,1340
G0010110,pothole,3680,2760,2002,1370,2060,1388
G0010110,pothole,3680,2760,1896,1342,1946,1358
G0010111,pothole,3680,2760,2022,1434,2098,1456
G0010111,pothole,3680,2760,1880,1384,1940,1396
G0010111,pothole,3680,2760,1900,1358,1954,1372
G0010111,pothole,3680,2760,1958,1348,2030,1364
G0010111,pothole,3680,2760,2088,1326,2138,1342
G0010111,pothole,3680,2760,2034,1314,2080,1326
G0010111,pothole,3680,2760,2050,1300,2088,1306
G0010112,pothole,3680,2760,1922,1530,2174,1610
G0010112,pothole,3680,2760,1844,1424,1930,1450
G0010112,pothole,3680,2760,1862,1390,1956,1406
G0010112,pothole,3680,2760,1938,1370,2038,1388
G0010112,pothole,3680,2760,2102,1340,2180,1356
G0010112,pothole,3680,2760,2028,1326,2088,1342
G0010112,pothole,3680,2760,2054,1304,2100,1316
G0010112,pothole,3680,2760,1982,1304,2024,1312
G0010112,pothole,3680,2760,1934,1298,1962,1304
G0010113,pothole,3680,2760,1790,1526,1914,1564
G0010113,pothole,3680,2760,1878,1456,1946,1480
G0010113,pothole,3680,2760,1936,1424,2046,1448
G0010113,pothole,3680,2760,2140,1378,2226,1396
G0010113,pothole,3680,2760,2044,1356,2112,1376
G0010113,pothole,3680,2760,2068,1322,2110,1332
G0010113,pothole,3680,2760,1986,1326,2034,1336
